"scenario_name","fhist","stock","iter","lag_idx","range_idx_1","range_idx_2","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","fitness_improvement"
"default",NA,NA,1,1,2,3,1,1,1,2,1,Inf,0,NA
"parameter explorations","one-way","pol",1,1,2,3,1,1,1,2,0.74,Inf,0,43
"parameter explorations","one-way","pol",19,1,2,3,1,1,1,2,1,1.32,0.74,9
"parameter explorations","one-way","pol",10,1,2,3,1,1,1,2,0.74,Inf,0,43
"parameter explorations","one-way","pol",22,0,2,3,1.3,0.6,1.7,2,0.94,Inf,0,75
"parameter explorations","one-way","pol",10,0,2,3,1.3,0.6,1.7,2,0.94,Inf,0,75
"parameter explorations","random","pol",1,1,2,3,1,1,1,2,0.73,Inf,0,39
"parameter explorations","random","pol",15,1,2,3,1,1,1,2,1,1.53,0.68,4
"parameter explorations","random","pol",10,1,2,3,1,1,1,2,0.73,Inf,0,39
"parameter explorations","random","pol",59,0,3,4,1.2,1,1.5,2,0.73,Inf,0,48
"parameter explorations","random","pol",10,0,3,4,1.2,1,1.5,2,0.73,Inf,0,48
"rfb: PA - mult","one-way","ang3",1,1,2,3,1,1,1,2,0.97,Inf,0,77
"rfb: PA - mult","one-way","rjc2",1,1,2,3,1,1,1,2,0.96,Inf,0,79
"rfb: PA - mult","one-way","smn",1,1,2,3,1,1,1,2,0.79,Inf,0,46
"rfb: PA - mult","one-way","wlf",1,1,2,3,1,1,1,2,1.04,Inf,0,16
"rfb: PA - mult","one-way","meg",1,1,2,3,1,1,1,2,1.4,Inf,0,45
"rfb: PA - mult","one-way","lin",1,1,2,3,1,1,1,2,0.81,Inf,0,50
"rfb: PA - mult","one-way","rjc",1,1,2,3,1,1,1,2,0.8,Inf,0,46
"rfb: PA - mult","one-way","syc",1,1,2,3,1,1,1,2,0.78,Inf,0,39
"rfb: PA - mult","one-way","sdv",1,1,2,3,1,1,1,2,0.8,Inf,0,48
"rfb: PA - mult","one-way","ang",1,1,2,3,1,1,1,2,0.69,Inf,0,33
"rfb: PA - mult","one-way","ang2",1,1,2,3,1,1,1,2,0.7,Inf,0,35
"rfb: PA - mult","one-way","pol",1,1,2,3,1,1,1,2,0.74,Inf,0,43
"rfb: PA - mult","one-way","had",1,1,2,3,1,1,1,2,0.64,Inf,0,49
"rfb: PA - mult","one-way","nep",1,1,2,3,1,1,1,2,0.8,Inf,0,50
"rfb: PA - mult","one-way","mut",1,1,2,3,1,1,1,2,0.66,Inf,0,41
"rfb: PA - mult","one-way","sbb",1,1,2,3,1,1,1,2,0.54,Inf,0,32
"rfb: PA - mult","one-way","ple",1,1,2,3,1,1,1,2,0.66,Inf,0,39
"rfb: PA - mult","one-way","syc2",1,1,2,3,1,1,1,2,0.79,Inf,0,32
"rfb: PA - mult","one-way","arg",1,1,2,3,1,1,1,2,0.73,Inf,0,27
"rfb: PA - mult","one-way","tur",1,1,2,3,1,1,1,2,0.67,Inf,0,49
"rfb: PA - mult","one-way","gut",1,1,2,3,1,1,1,2,0.51,Inf,0,28
"rfb: PA - mult","one-way","whg",1,1,2,3,1,1,1,2,0.38,Inf,0,22
"rfb: PA - mult","one-way","bll",1,1,2,3,1,1,1,2,0.33,Inf,0,24
"rfb: PA - mult","one-way","lem",1,1,2,3,1,1,1,2,0.48,Inf,0,27
"rfb: PA - mult","one-way","ane",1,1,2,3,1,1,1,2,0.4,Inf,0,11
"rfb: PA - mult","one-way","jnd",1,1,2,3,1,1,1,2,0.21,Inf,0,22
"rfb: PA - mult","one-way","sar",1,1,2,3,1,1,1,2,0.21,Inf,0,17
"rfb: PA - mult","one-way","her",1,1,2,3,1,1,1,2,0.23,Inf,0,16
"rfb: PA - mult","one-way","san",1,1,2,3,1,1,1,2,0.2,Inf,0,23
"rfb: PA - mult","random","ang3",1,1,2,3,1,1,1,2,0.23,Inf,0,34
"rfb: PA - mult","random","rjc2",1,1,2,3,1,1,1,2,0.24,Inf,0,33
"rfb: PA - mult","random","smn",1,1,2,3,1,1,1,2,0.76,Inf,0,38
"rfb: PA - mult","random","wlf",1,1,2,3,1,1,1,2,0.66,Inf,0,46
"rfb: PA - mult","random","meg",1,1,2,3,1,1,1,2,0.86,Inf,0,17
"rfb: PA - mult","random","lin",1,1,2,3,1,1,1,2,0.62,Inf,0,30
"rfb: PA - mult","random","rjc",1,1,2,3,1,1,1,2,0.67,Inf,0,28
"rfb: PA - mult","random","syc",1,1,2,3,1,1,1,2,0.74,Inf,0,28
"rfb: PA - mult","random","sdv",1,1,2,3,1,1,1,2,0.62,Inf,0,36
"rfb: PA - mult","random","ang",1,1,2,3,1,1,1,2,0.67,Inf,0,34
"rfb: PA - mult","random","ang2",1,1,2,3,1,1,1,2,0.7,Inf,0,39
"rfb: PA - mult","random","pol",1,1,2,3,1,1,1,2,0.73,Inf,0,39
"rfb: PA - mult","random","had",1,1,2,3,1,1,1,2,0.77,Inf,0,49
"rfb: PA - mult","random","nep",1,1,2,3,1,1,1,2,0.82,Inf,0,49
"rfb: PA - mult","random","mut",1,1,2,3,1,1,1,2,0.74,Inf,0,40
"rfb: PA - mult","random","sbb",1,1,2,3,1,1,1,2,0.65,Inf,0,31
"rfb: PA - mult","random","ple",1,1,2,3,1,1,1,2,0.75,Inf,0,39
"rfb: PA - mult","random","syc2",1,1,2,3,1,1,1,2,0.82,Inf,0,29
"rfb: PA - mult","random","arg",1,1,2,3,1,1,1,2,0.77,Inf,0,24
"rfb: PA - mult","random","tur",1,1,2,3,1,1,1,2,0.79,Inf,0,51
"rfb: PA - mult","random","gut",1,1,2,3,1,1,1,2,0.65,Inf,0,29
"rfb: PA - mult","random","whg",1,1,2,3,1,1,1,2,0.47,Inf,0,17
"rfb: PA - mult","random","bll",1,1,2,3,1,1,1,2,0.41,Inf,0,20
"rfb: PA - mult","random","lem",1,1,2,3,1,1,1,2,0.6,Inf,0,29
"rfb: PA - mult","random","ane",1,1,2,3,1,1,1,2,0.47,Inf,0,11
"rfb: PA - mult","random","jnd",1,1,2,3,1,1,1,2,0.28,Inf,0,22
"rfb: PA - mult","random","sar",1,1,2,3,1,1,1,2,0.27,Inf,0,17
"rfb: PA - mult","random","her",1,1,2,3,1,1,1,2,0.29,Inf,0,16
"rfb: PA - mult","random","san",1,1,2,3,1,1,1,2,0.27,Inf,0,23
"rfb: PA - all","one-way","ang3",18,0,4,3,1.5,0.6,1.2,3,1,Inf,0.5,89
"rfb: PA - all","one-way","rjc2",30,0,3,3,1.4,0.7,0.5,2,0.97,Inf,0.24,91
"rfb: PA - all","one-way","smn",30,1,3,5,1.6,0.3,0.8,3,0.79,Inf,0.25,54
"rfb: PA - all","one-way","wlf",50,0,2,3,1.4,0.3,1,2,1.07,Inf,0.26,75
"rfb: PA - all","one-way","meg",36,0,2,3,1.5,0,1,2,1,Inf,0.37,83
"rfb: PA - all","one-way","lin",30,0,3,5,1.2,0.8,1.6,1,0.92,Inf,0.35,76
"rfb: PA - all","one-way","rjc",33,0,3,4,1.5,1.2,1,2,0.82,Inf,0.08,65
"rfb: PA - all","one-way","syc",88,0,3,5,1.8,0.6,1.1,3,0.85,Inf,0.33,66
"rfb: PA - all","one-way","sdv",70,0,3,5,1.5,0.9,1.3,3,0.88,Inf,0.18,75
"rfb: PA - all","one-way","ang",22,0,3,3,1.9,0.9,0.9,2,0.72,Inf,0.34,50
"rfb: PA - all","one-way","ang2",74,0,4,3,1.3,0.7,0.9,2,0.8,2.08,0.28,59
"rfb: PA - all","one-way","pol",10,0,2,3,1.3,0.6,1.7,2,0.94,Inf,0,75
"rfb: PA - all","one-way","had",100,0,3,5,1.6,0.6,1,3,0.74,Inf,0.25,63
"rfb: PA - all","one-way","nep",12,0,3,3,1.3,0.9,1.6,2,0.82,Inf,0.25,54
"rfb: PA - all","one-way","mut",10,1,2,3,1,1,1,2,0.66,Inf,0,41
"rfb: PA - all","one-way","sbb",30,0,3,5,1,0.8,0.8,2,0.57,Inf,0.25,33
"rfb: PA - all","one-way","ple",73,0,3,5,1.3,0.6,0.6,2,0.7,Inf,0.13,43
"rfb: PA - all","one-way","syc2",35,0,3,3,1.7,0.3,1.1,3,0.8,Inf,0.17,42
"rfb: PA - all","one-way","arg",30,0,3,5,1.9,0.5,0.8,4,0.66,Inf,0.36,37
"rfb: PA - all","one-way","tur",36,0,3,3,1.4,0.9,0.9,2,0.74,Inf,0.11,52
"rfb: PA - all","one-way","gut",10,0,2,1,0.6,1.3,0.8,1,0.38,1.14,0.26,29
"rfb: PA - all","one-way","whg",10,0,2,1,0.6,1.3,0.8,1,0.38,1.14,0.26,25
