"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","fhist"
1,2,3,1,1,1,1,2,0,Inf,0,0.00228,0.06816,0.00016,0,794.235126246339,0,0,2.88519106411331,0,0,0,"ang3","one-way"
1,2,3,1,1,1,1,2,0.01,Inf,0,0.00228,0.06876,0.00016,0,793.667314974382,1.18514555073734e-27,1.22224777132051e-24,2.88312839532189,1.97415188106338e-26,5.53463652703168e-26,0.989179142717344,"ang3","one-way"
1,2,3,1,1,1,1,2,0.02,Inf,0,0.00228,0.06944,0.00016,0,793.053051830989,9.65524233113024e-24,9.93507113096343e-21,2.88089698238917,1.60831847179149e-22,4.49884294087771e-22,0.977802136934746,"ang3","one-way"
1,2,3,1,1,1,1,2,0.03,Inf,0,0.00228,0.06984,0.00016,0,792.474805708986,1.8735611303912e-21,1.91810935826376e-18,2.87879640727113,3.12087762346818e-20,8.68566780499696e-20,0.966248641464972,"ang3","one-way"
1,2,3,1,1,1,1,2,0.04,Inf,0,0.00228,0.0704,0.00016,0,791.896908846457,7.85081481527167e-20,7.99950151900112e-17,2.87669710089617,1.30774661608495e-18,3.62236973091594e-18,0.954546794224798,"ang3","one-way"
1,2,3,1,1,1,1,2,0.05,Inf,0,0.00228,0.0708,0.00016,0,791.345886591934,1.42604974980292e-18,1.44899082188758e-15,2.87469542100021,2.37543717251599e-17,6.56138445766056e-17,0.94239558495018,"ang3","one-way"
1,2,3,1,1,1,1,2,0.06,Inf,0,0.00228,0.07116,0.00016,0,790.742917400785,1.49880364224308e-17,1.52793151019047e-14,2.87250503522558,2.49662670364662e-16,6.91884718101503e-16,0.930739420311897,"ang3","one-way"
1,2,3,1,1,1,1,2,0.07,Inf,0,0.00228,0.0716,0.00016,0,790.080114722006,1.09304988308892e-16,1.11915489422197e-13,2.87009729436536,1.82074385838397e-15,5.06780679196912e-15,0.919191420772451,"ang3","one-way"
1,2,3,1,1,1,1,2,0.08,Inf,0,0.00232,0.07212,0.00016,0,789.692875980965,6.15236235524871e-16,6.33063795956639e-13,2.86869058529596,1.02482751667433e-14,2.8666675376773e-14,0.907659848371954,"ang3","one-way"
1,2,3,1,1,1,1,2,0.09,Inf,0,0.00236,0.07272,0.00016,0,789.090812575431,2.83569492730731e-15,2.89560896122893e-12,2.86650348993808,4.72354848852343e-14,1.31120248290601e-13,0.896144235306711,"ang3","one-way"
1,2,3,1,1,1,1,2,0.1,Inf,0,0.0024,0.07328,0.00016,0,788.503478614953,1.11179356893341e-14,1.13238679438269e-11,2.86436990173678,1.85196608475519e-13,5.12772406870294e-13,0.8846010926702,"ang3","one-way"
