"file","obj_fun","fhist","scenario","optimised","stat_yrs","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","risk_Blim_first10","risk_Bmsy_first10","risk_halfBmsy_first10","risk_collapse_first10","SSB_first10","Fbar_first10","Catch_first10","SSB_rel_first10","Fbar_rel_first10","Catch_rel_first10","ICV_first10","risk_Blim_41to50","risk_Bmsy_41to50","risk_halfBmsy_41to50","risk_collapse_41to50","SSB_41to50","Fbar_41to50","Catch_41to50","SSB_rel_41to50","Fbar_rel_41to50","Catch_rel_41to50","ICV_41to50","risk_Blim_last10","risk_Bmsy_last10","risk_halfBmsy_last10","risk_collapse_last10","SSB_last10","Fbar_last10","Catch_last10","SSB_rel_last10","Fbar_rel_last10","Catch_rel_last10","ICV_last10","risk_Blim_firsthalf","risk_Bmsy_firsthalf","risk_halfBmsy_firsthalf","risk_collapse_firsthalf","SSB_firsthalf","Fbar_firsthalf","Catch_firsthalf","SSB_rel_firsthalf","Fbar_rel_firsthalf","Catch_rel_firsthalf","ICV_firsthalf","risk_Blim_lastfhalf","risk_Bmsy_lastfhalf","risk_halfBmsy_lastfhalf","risk_collapse_lastfhalf","SSB_lastfhalf","Fbar_lastfhalf","Catch_lastfhalf","SSB_rel_lastfhalf","Fbar_rel_lastfhalf","Catch_rel_lastfhalf","ICV_lastfhalf","risk_Blim_11to50","risk_Bmsy_11to50","risk_halfBmsy_11to50","risk_collapse_11to50","SSB_11to50","Fbar_11to50","Catch_11to50","SSB_rel_11to50","Fbar_rel_11to50","Catch_rel_11to50","ICV_11to50"
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","zero-fishing","more","ang3",1,2,3,1,1,1,1,2,0,Inf,0,"1_2_3_1_1_1_1_2_0_Inf_0",-1.34400926846558,1,0.00228,0.06816,0.00016,0,794.235126246339,0,0,2.88519106411331,0,0,1,0.0114,0.3408,8e-04,0,321.083212712425,0,0,1.16638812052157,0,0,1,0,0,0,0,1064.75957046101,0,0,3.86791605735454,0,0,1,0,0,0,0,1064.75957046101,0,0,3.86791605735454,0,0,1,0.00456,0.13632,0.00032,0,518.535250488502,0,0,1.8836654558554,0,0,1,0,0,0,0,985.412168899466,0,0,3.5796734370263,0,0,1,0,0,0,0,878.834573102614,0,0,3.19251261164072,0,0,1
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","zero-fishing","more","ang3",1,2,3,1,1,1,1,2,0,Inf,0,"1_2_3_1_1_1_1_2_0_Inf_0",-3.62806985289798,1,0.04816,0.11508,0.03504,0,777.428955173525,0,0,2.82413985522205,0,0,1,0.2322,0.4868,0.1726,0,281.114323230565,0,0,1.02119448835297,0,0,1,0,0,0,0,1041.32531381969,0,0,3.78278722633038,0,0,1,0,0,0,0,1041.32531381969,0,0,3.78278722633038,0,0,1,0.09632,0.23016,0.07008,0,485.328315369402,0,0,1.76303574645811,0,0,1,0,0,0,0,962.234901638445,0,0,3.49547816262676,0,0,1,0.00215,0.02215,0.00065,0,860.589531822993,0,0,3.12623446764433,0,0,1
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","default","more","ang3",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-5.79446154700969,1,0.06584,0.28372,0.03508,0.00412,398.63119976928,0.0258129658584515,14.2557263888055,1.44809406867554,0.42997853785624,0.645534120349501,0.247770103269113,0.2316,0.8722,0.113,0.0024,199.097855452557,0.0589422713863662,17.3973993372407,0.723256041508386,0.98182873706229,0.787796747162153,0.349946710720489,0.0302,0.129,0.0208,0.006,551.402613158168,0.0326945060881338,21.7411499505036,2.00306161190766,0.544607543387152,0.984492387543702,0.215367179966944,0.0302,0.129,0.0208,0.006,551.402613158168,0.0326945060881338,21.7411499505036,2.00306161190766,0.544607543387152,0.984492387543702,0.215367179966944,0.1108,0.46928,0.05512,0.00336,287.305776223249,0.0248460828123735,10.8360639335151,1.04368597010447,0.413872718760892,0.490683449484943,0.289037151944934,0.02088,0.09816,0.01504,0.00488,550.356066135865,0.0266231099385723,18.0773871124509,1.99925985595763,0.443473483339585,0.818588254963779,0.215367179966944,0.0244,0.1366,0.0156,0.00455,460.575362426327,0.0210652955679279,13.5788809791608,1.67311653200671,0.35089439305331,0.614884906538081,0.226100035160229
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","default","more","ang3",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-5.48847679011578,1,0.2342,0.456,0.17696,0.00408,297.151197328604,0.0464013542593193,17.9353025736078,1.079451098159,0.772928867158405,0.812154319905275,0.221180011862055,0.4564,0.6724,0.3714,4e-04,179.6387903308,0.0597276987406705,16.2040361627188,0.652567754186427,0.994911964586316,0.733758347005466,0.233957609649243,0.1488,0.3342,0.1096,0.0112,368.790736367487,0.0446774164815191,21.5057768741334,1.33969362715547,0.744212436465458,0.973834119584244,0.214529049895216,0.1488,0.3342,0.1096,0.0112,368.790736367487,0.0446774164815191,21.5057768741334,1.33969362715547,0.744212436465458,0.973834119584244,0.214529049895216,0.32704,0.57304,0.25152,0.00136,240.221888700432,0.0484965695143312,15.9647679217933,0.872645925342693,0.807829838894249,0.722923696478315,0.22773771033779,0.14136,0.33896,0.1024,0.0068,350.881510428008,0.0440641903523511,20.3310408715755,1.27463538818035,0.733997644572081,0.920639203283831,0.214724511941729,0.17865,0.4019,0.12835,0.005,320.716805850378,0.0430656874330615,18.5267182850596,1.16505708671399,0.717365118591316,0.838935068261437,0.217606618170539
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","mult","more","ang3",1,2,3,1,1,1,1,2,0.97,Inf,0,"1_2_3_1_1_1_1_2_0.97_Inf_0",-1.34400926846558,1,0.05152,0.24584,0.02664,0.00412,438.168014298295,0.020593150576043,12.2603658747652,1.5917181167855,0.343029655061557,0.555179321226627,0.236455666043253,0.203,0.8562,0.0962,0.0022,203.601843028097,0.0537602052957315,16.2705202471327,0.739617524747285,0.895508660053549,0.736768908781056,0.351643986290451,0.015,0.0682,0.0104,0.0064,649.236151182138,0.0245565763239062,19.1844941832714,2.35845819454356,0.409050274982302,0.868720768004713,0.201539405103459,0.015,0.0682,0.0104,0.0064,649.236151182138,0.0245565763239062,19.1844941832714,2.35845819454356,0.409050274982302,0.868720768004713,0.201539405103459,0.09272,0.4396,0.04576,0.00328,301.63908048164,0.0214427543423197,9.73327078804837,1.09575407940728,0.357181898828663,0.440746281523768,0.281920917296533,0.01032,0.05208,0.00752,0.00496,607.475118495401,0.0197732089633431,15.2047838021106,2.20675430440544,0.329371507536414,0.688509758752615,0.202917231738441,0.01365,0.09325,0.00925,0.0046,505.965339984063,0.016535552267716,11.4231060083601,1.8380031673647,0.275440359147652,0.517266148889919,0.214148776883109
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","mult","more","ang3",1,2,3,1,1,1,1,2,0.23,Inf,0,"1_2_3_1_1_1_1_2_0.23_Inf_0",-3.62806985289798,1,0.0524,0.12168,0.03852,0,768.221940243651,6.19652168717587e-10,6.05027214153868e-07,2.79069384367585,1.03218334129319e-08,2.73971104540153e-08,0.727969681938586,0.2516,0.508,0.1894,0,270.190026891794,0.000583985632414841,0.224434995913934,0.981510166749985,0.00972771938458096,0.0101629649525761,0.752442635610104,0,0,0,0,1037.67311536469,1.13502756480784e-15,1.46677260591272e-12,3.76952000860291,1.89066802869077e-14,6.6419047201561e-14,0.72347895780665,0,0,0,0,1037.67311536469,1.13502756480784e-15,1.46677260591272e-12,3.76952000860291,1.89066802869077e-14,6.6419047201561e-14,0.72347895780665,0.1048,0.24336,0.07704,0,472.956784359184,2.99758235117685e-06,0.00174932247173295,1.71809410444238,4.99321187472416e-05,7.92135954492292e-05,0.733488735928731,0,0,0,0,955.603136051266,1.48602864157471e-13,1.80285023740682e-10,3.47138717221458,2.47534679285056e-12,8.1637463457505e-12,0.724500823816394,0.0026,0.0251,8e-04,0,851.949728940798,2.19221119009732e-11,2.36140028877357e-08,3.0948489481078,3.65166779888455e-10,1.06929974427927e-09,0.723316573745176
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier-upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","all_cap","more","ang3",0,4,3,1,1.5,0.6,1.2,3,1,Inf,0.5,"0_4_3_1_1.5_0.6_1.2_3_1_Inf_0.5",-0.638633537666988,18,0.04856,0.32588,0.02064,0,340.790766357208,0.0424833612181566,19.8065276727391,1.23797908369162,0.707665040893417,0.896887964154521,0.281197470321693,0.1542,0.8908,0.0618,0,206.697427689349,0.0705942591111029,20.3717515685098,0.750862750383505,1.17592129785033,0.922482683105033,0.424378468417319,0.0164,0.1244,0.0072,0,430.728537802004,0.0439184878762387,24.1136956057181,1.56469298228883,0.731570610887368,1.09192705139433,0.211817862156272,0.0164,0.1244,0.0072,0,430.728537802004,0.0439184878762387,24.1136956057181,1.56469298228883,0.731570610887368,1.09192705139433,0.211817862156272,0.0836,0.5356,0.0352,0,265.499365537136,0.0448386867838742,16.9271069254382,0.964470559991212,0.746898790648333,0.766500757741484,0.344552378606602,0.01352,0.11616,0.00608,0,423.487259465126,0.0408555091638781,22.3512238988122,1.53838783553833,0.680549154637527,1.01211802645038,0.221911502212867,0.02215,0.18465,0.01035,0,378.566301553135,0.0382239971576246,19.7312188467293,1.37520499197458,0.636714839316898,0.893477796518943,0.241377232397379
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier-upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","all_cap","more","ang3",1,2,5,1,0.7,0.5,0.8,1,0.19,Inf,0.18,"1_2_5_1_0.7_0.5_0.8_1_0.19_Inf_0.18",-3.42503264296104,38,0.05184,0.12084,0.03808,0,769.638977390455,4.39539296439922e-11,4.14105164643741e-08,2.79584146656279,7.32160980841803e-10,1.87516935931372e-09,0.546059397734008,0.2492,0.5058,0.1872,0,272.528197721353,0.000399324525048525,0.14218564842227,0.990003960792683,0.00665173371986952,0.00643851354727665,0.561288828814297,0,0,0,0,1038.45495177779,6.03604487181216e-18,8.03105492425955e-15,3.77236015928137,1.00545197427079e-16,3.63665788372696e-16,0.547399854960236,0,0,0,0,1038.45495177779,6.03604487181216e-18,8.03105492425955e-15,3.77236015928137,1.00545197427079e-16,3.63665788372696e-16,0.547399854960236,0.10368,0.24168,0.07616,0,474.660072468401,8.49143285853126e-07,0.000476679715591816,1.72428158151299,1.41445733312365e-05,2.15852221416545e-05,0.577807165656486,0,0,0,0,956.938927096659,2.22564317926801e-15,2.73745169719699e-12,3.4762396551385,3.70735701297975e-14,1.23958500966808e-13,0.529808049948049,0.0025,0.0246,8e-04,0,853.628221987528,7.68263902202189e-13,8.11655497121503e-10,3.10094635299404,1.27973279462759e-11,3.67537439391797e-11,0.544526129275495
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","zero-fishing","more","rjc2",1,2,3,1,1,1,1,2,0,Inf,0,"1_2_3_1_1_1_1_2_0_Inf_0",-1.23925969792257,1,0.00128,0.07716,0.00016,0,827.85044940712,0,0,2.87598034925679,0,0,1,0.0064,0.3858,8e-04,0,320.983005093066,0,0,1.11510577273247,0,0,1,0,0,0,0,1093.17965642005,0,0,3.79774295263471,0,0,1,0,0,0,0,1093.17965642005,0,0,3.79774295263471,0,0,1,0.00256,0.15432,0.00032,0,529.346556854199,0,0,1.83896777074858,0,0,1,0,0,0,0,1019.20646787648,0,0,3.54075760368001,0,0,1,0,0,0,0,911.870568557223,0,0,3.16786907359217,0,0,1
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","zero-fishing","more","rjc2",1,2,3,1,1,1,1,2,0,Inf,0,"1_2_3_1_1_1_1_2_0_Inf_0",-3.66095432230023,1,0.04836,0.114,0.03828,0,824.273908348201,0,0,2.86355532513422,0,0,1,0.2354,0.4928,0.1892,0,291.736921295916,0,0,1.01350389240063,0,0,1,0,0,0,0,1078.24524782617,0,0,3.74586031408019,0,0,1,0,0,0,0,1078.24524782617,0,0,3.74586031408019,0,0,1,0.09672,0.228,0.07656,0,520.728054354147,0,0,1.80902680272963,0,0,1,0,0,0,0,1006.58044417879,0,0,3.49689437201804,0,0,1,0.0016,0.0193,0.00055,0,905.739764163833,0,0,3.14657045259951,0,0,1
