"file","obj_fun","fhist","scenario","optimised","group","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness_improvement"
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","group",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",-5.45701088090758,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.7420663478191
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","ang3",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.1328,0.52836,0.06472,0,266.039686668291,0.0531536747694533,20.487719512925,0.966433366278475,0.885405399921244,0.927733994960006,0.153847638453584,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","rjc2",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.11008,0.5094,0.06472,0,284.465320745653,0.0534341283005755,20.9237463917903,0.988242107128695,0.893249979195869,0.953518974277448,0.158733426118696,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","smn",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.28516,0.46372,0.15484,0.03548,242.114827992147,0.0850147223687466,47.8802880948791,1.06260279945137,0.799800067924729,0.928014329034139,0.146335930061193,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","wlf",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.1326,0.46588,0.0808,0,294.114404417479,0.0662032592100448,27.5803595858947,1.04072465130532,0.900458055411002,0.993893702104537,0.168346222458539,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","meg",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.13432,0.5336,0.13196,0.0052,310.951246378858,0.0754424465748774,25.1956626797257,0.960743110965977,0.977880139279294,0.990603575439432,0.17917943885909,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","lin",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.20464,0.4818,0.11728,0.00512,270.565191607807,0.0829636116155402,40.343851893427,1.02806785563363,0.884142610008493,0.987477830401269,0.163727819452489,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","rjc",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.22416,0.45784,0.11752,0.00864,267.211976264282,0.0859135574690826,45.3090285685264,1.06883380391274,0.860759823241362,0.990153344813926,0.16401056737412,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","syc",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.25128,0.4384,0.12092,0.00704,261.044919741126,0.0957178546691706,59.233122230122,1.11448265544966,0.831545109877962,0.983452642385504,0.161738487117179,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","sdv",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.20524,0.48144,0.1228,0.00672,273.690242647361,0.0771558486084958,42.4658213459603,1.03011974413082,0.88363314624275,0.988300391767254,0.164801356155762,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","ang",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.25748,0.46608,0.16308,0.03736,265.383529252895,0.0867382723832956,56.5238675552863,1.05657451152836,0.830500167373593,0.974259177229956,0.173340639269275,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","ang2",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.27092,0.46236,0.186,0.05844,265.007371895642,0.0991437060389757,55.640862647864,1.06332786623491,0.815462650350861,0.954603424470291,0.18871751613976,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",TRUE,"low","pol",1,2,3,1,1,0,0.2,2,1,Inf,0,"1_2_3_1_1_0_0.2_2_1_Inf_0",NA,15,0.26044,0.518,0.21748,0.06764,275.580156206036,0.0993871338457494,45.5047294705021,0.969903690876973,0.859932997263092,0.942415529955992,0.200127143890954,NA
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_SSB_C_risk_ICV_res.rds","SSB_C_risk_ICV","one-way","MSY",FALSE,"low","group",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-16.9168023585994,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
