"parameters","objective","scenario","catch_rule","stat_yrs","fhist","stock","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"none","MSY","GA","hr","all","one-way","ang3",1,1,1,1.4,1,1,Inf,0,0.00452,0.2144,0.00052,0,337.201468286447,0.0526320432337653,23.9562470622365,1.22494036206124,0.876716341629966,1.0847973966686,0.258036938476917,-0.572294697206758,NA,NA
"none","MSY","GA","hr","all","random","ang3",1,1,1,1.4,1,1,Inf,0,0.4664,0.71156,0.388,0,174.790471898795,0.0923461835497712,22.8381834231392,0.634955431898307,1.53825318628909,1.0341687434471,0.238722033218014,-1.10433534476681,NA,NA
"none","MSY","GA_cond_cap","hr","all","one-way","ang3",1,1,1,1.4,1,1,1.2,0.7,0.00484,0.17364,6e-04,0,362.106241445008,0.0479119094958688,23.1144609123693,1.31541108867144,0.798090885948663,1.04667926315816,0.2,-0.566930351829593,NA,NA
"none","MSY","GA_cond_cap","hr","all","random","ang3",1,1,1,1.4,1,1,1.2,0.7,0.4044,0.6618,0.32364,0,196.987314135207,0.0847612774742695,22.8788592123401,0.715589149491107,1.41190788982045,1.03601064256084,0.2,-0.924821493069737,NA,NA
"none","MSY-PA","GA","hr","all","one-way","ang3",1,1,1,1.4,1,1,Inf,0,0.00452,0.2144,0.00052,0,337.201468286447,0.0526320432337653,23.9562470622365,1.22494036206124,0.876716341629966,1.0847973966686,0.258036938476917,-0.567774697211242,NA,4.48374676496386e-12
"none","MSY-PA","GA","hr","all","random","ang3",1,1,1,1.4,1,1,Inf,0,0.4664,0.71156,0.388,0,174.790471898795,0.0923461835497712,22.8381834231392,0.634955431898307,1.53825318628909,1.0341687434471,0.238722033218014,-5.63793534476681,NA,5
"none","MSY-PA","GA_cond_cap","hr","all","one-way","ang3",1,1,1,1.4,1,1,1.2,0.7,0.00484,0.17364,6e-04,0,362.106241445008,0.0479119094958688,23.1144609123693,1.31541108867144,0.798090885948663,1.04667926315816,0.2,-0.562090351834855,NA,5.26172557145861e-12
"none","MSY-PA","GA_cond_cap","hr","all","random","ang3",1,1,1,1.4,1,1,1.2,0.7,0.4044,0.6618,0.32364,0,196.987314135207,0.0847612774742695,22.8788592123401,0.715589149491107,1.41190788982045,1.03601064256084,0.2,-5.52042149306974,NA,5
"mult","MSY","GA","hr","all","one-way","ang3",1,1,1,1.4,1,1.26,Inf,0,0.0104,0.49508,0.0014,0,275.952683508327,0.0666798404083612,25.3653617792185,1.00244397441743,1.1107170109973,1.14860555379014,0.293952024063537,-0.455401552271108,1,NA
"mult","MSY","GA","hr","all","random","ang3",1,1,1,1.4,1,0.7,Inf,0,0.2198,0.4984,0.15488,0,276.000724374099,0.0607696527230287,21.6381248998604,1.0026184908447,1.01226827506628,0.979827161540686,0.206121716077468,-0.448713045381479,1,NA
"mult","MSY","GA_cond_cap","hr","all","one-way","ang3",1,1,1,1.4,1,1.38,1.2,0.7,0.01296,0.49216,0.00156,0,276.506188075855,0.0663534932441373,25.2998562015054,1.00445467172785,1.1052808950052,1.14563930118864,0.2,-0.363053972916486,1,NA
"mult","MSY","GA_cond_cap","hr","all","random","ang3",1,1,1,1.4,1,0.75,1.2,0.7,0.2144,0.49592,0.15108,0,277.091745584173,0.0611153717016598,22.0377187434886,1.00658180667151,1.01802707635072,0.997921747064309,0.199999999999999,-0.4230600596072,1,NA
"mult","MSY-PA","GA","hr","all","one-way","ang3",1,1,1,1.4,1,1.26,Inf,0,0.0104,0.49508,0.0014,0,275.952683508327,0.0666798404083612,25.3653617792185,1.00244397441743,1.1107170109973,1.14860555379014,0.293952024063537,-0.445001552355922,1,8.48138647077643e-11
"mult","MSY-PA","GA","hr","all","random","ang3",1,1,1,1.4,1,0.11,Inf,0,0.05364,0.13036,0.03916,0,669.616801557523,0.00791556653788673,5.80575196531431,2.43249429342751,0.131853261067634,0.262898633551186,0.202286576485153,-2.57150890612555,1,0.199626669764069
"mult","MSY-PA","GA_cond_cap","hr","all","one-way","ang3",1,1,1,1.4,1,1.39,1.2,0.7,0.01348,0.50452,0.00164,0,274.602572530915,0.0668364888473025,25.3324453374497,0.997539471961091,1.11332637665883,1.14711501688569,0.2,-0.349575545320217,1,3.95621928136149e-10
"mult","MSY-PA","GA_cond_cap","hr","all","random","ang3",1,1,1,1.4,1,0.04,1.2,0.7,0.05512,0.12776,0.04004,0,728.760490316312,0.00272094234254335,2.22813802025313,2.64734357000387,0.0453239978874751,0.100895533324128,0.199999999999999,-3.1473125975438,1,0.400864560864061
"all","MSY","GA","hr","all","one-way","ang3",1,4,1,0.6,1,1.1,Inf,0.68,0.01604,0.465,0.0018,0,281.567433565126,0.0637733319994921,24.6213904007952,1.02284048693088,1.06230195312423,1.11491671211085,0.0527136304994128,-0.206510829541147,28,NA
"all","MSY","GA","hr","all","random","ang3",0,5,1,1,1,0.7,Inf,0.4,0.22268,0.5,0.15772,0,275.299984147375,0.0631010839762157,22.0775327067813,1.00007293553796,1.0511040061812,0.999724620595326,0.0418260410730816,-0.264854356015718,28,NA
"all","MSY-PA","GA","hr","all","one-way","ang3",0,4,1,0.6,2,1.08,Inf,0.74,0.03268,0.50336,0.00592,0,274.572208294099,0.0633721467474327,24.2620378856717,0.997429168825613,1.05561922441201,1.09864435225918,0.0892663305940574,-0.19048735529215,33,5.84126452786271e-06
"all","MSY-PA","GA","hr","all","random","ang3",1,4,1,1.6,1,0.11,Inf,0.08,0.05316,0.12856,0.03876,0,674.166721183882,0.00782776406035345,5.8079293565865,2.44902263247296,0.130390694498688,0.262997231147774,0.0560058929234823,-2.40041243614395,21,0.158381141895282
"all","MSY-PA","GA_cond_cap","hr","all","one-way","ang3",0,5,1,0.7,1,1.09,1.2,0.7,0.01584,0.45592,0.0018,0,282.993108037288,0.0633046634567021,24.5788016467269,1.02801948633734,1.05449512395655,1.11298818927417,0.0435546308930295,-0.184562307792043,42,1.28750179679409e-09
"all","MSY-PA","GA_cond_cap","hr","all","random","ang3",1,4,1,1.9,1,0.1,1.2,0.7,0.05328,0.12864,0.0386,0,681.562976054332,0.00700539653762085,5.37686312456935,2.47589075723216,0.116692137465605,0.243477498984839,0.0598593808366105,-2.46011875549135,18,0.167846116407412
