"parameters","objective","scenario","catch_rule","stat_yrs","fhist","idxB_lag","idxB_range_3","exp_b","comp_b_multiplier","interval","multiplier","upper_constraint","lower_constraint","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","fitness","iter","risk_penalty"
"not optimised","MSY","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.689993544462818,NA,NA
"time lag","MSY","GA","hr","all","one-way",0,1,1,1.4,1,1,Inf,0,0.0298,0.17496,0.01604,0,383.400974534653,0.0922232033138557,52.0072635269466,1.34937879928106,0.797948110325542,1.07708480829625,0.218304338294018,-0.674567945871326,1,NA
"index range","MSY","GA","hr","all","one-way",1,5,1,1.4,1,1,Inf,0,0.04532,0.19696,0.02528,0,388.900940743417,0.0908981340915322,52.62553775173,1.36873591700325,0.78648313791068,1.089889438452,0.0598420635152496,-0.563787418970499,1,NA
"index trigger
buffer","MSY","GA","hr","all","one-way",1,1,1,0,1,1,Inf,0,0.03732,0.19808,0.02028,0,381.023473684857,0.0923732905723771,51.228135294041,1.34101119081089,0.799246718918799,1.06094884715415,0.200130656687024,-0.639410694652069,1,NA
"interval","MSY","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.689993544462818,1,NA
"multiplier","MSY","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.689993544462818,1,NA
"upper cap","MSY","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0,0.03224,0.17116,0.01684,0,386.98402959793,0.0908404516489015,51.9667010114922,1.36198935287945,0.785984048804661,1.07624474738515,0.219519444198222,-0.689993544462818,1,NA
"lower cap","MSY","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0.9,0.24824,0.45464,0.21528,0.067,301.23496077579,0.106084167990781,49.7043232037695,1.06019571329069,0.917878129819666,1.0293902774117,0.1,-0.437825990702391,1,NA
"both caps","MSY","GA","hr","all","one-way",1,1,1,1.4,1,1,Inf,0.9,0.24824,0.45464,0.21528,0.067,301.23496077579,0.106084167990781,49.7043232037695,1.06019571329069,0.917878129819666,1.0293902774117,0.1,-0.437825990702391,10,NA
"all without caps","MSY","GA","hr","all","one-way",0,5,1,0.5,1,1.27,NA,0,0.08812,0.49612,0.04956,0,285.100137340626,0.124079352023422,53.8685553516417,1.0034092413732,1.07357889251102,1.11563267665595,0.0545183096374348,-0.261680227666579,42,NA
"all","MSY","GA","hr","all","one-way",0,5,1,0.5,1,1.27,Inf,0,0.08812,0.49612,0.04956,0,285.100137340626,0.124079352023422,53.8685553516417,1.0034092413732,1.07357889251102,1.11563267665595,0.0545183096374348,-0.261680227666579,10,NA
"multiplier (cond. cap)","MSY","GA_cond_cap","hr","all","one-way",1,1,1,1.4,1,1.46,1.2,0.7,0.06648,0.50196,0.03516,0,283.660043394982,0.124070295746676,54.7362902437571,0.998340834226908,1.07350053436842,1.13360370621111,0.2,-0.401742871984206,1,NA
"all (cond. cap)","MSY","GA_cond_cap","hr","all","one-way",0,4,1,0.7,1,1.27,1.2,0.7,0.08724,0.49996,0.0482,0,284.136285150915,0.12442559445811,53.9236199190664,1.00001696593098,1.07657470578301,1.11677307907335,0.0662583517833622,-0.270288396787687,29,NA
"not optimised","MSY","GA","hr","all","random",1,1,1,1.4,1,1,Inf,0,0.41456,0.65756,0.35844,0.01456,199.343353747125,0.15282555083395,48.1445232924074,0.701588449665359,1.32230127685327,0.997086389943371,0.227788637014605,-0.943673797405874,NA,NA
