"file","obj_fun","fhist","scenario","optimised","stat_yrs","stock","lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","solution","fitness","iter","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","risk_Blim_first10","risk_Bmsy_first10","risk_halfBmsy_first10","risk_collapse_first10","SSB_first10","Fbar_first10","Catch_first10","SSB_rel_first10","Fbar_rel_first10","Catch_rel_first10","ICV_first10","risk_Blim_41to50","risk_Bmsy_41to50","risk_halfBmsy_41to50","risk_collapse_41to50","SSB_41to50","Fbar_41to50","Catch_41to50","SSB_rel_41to50","Fbar_rel_41to50","Catch_rel_41to50","ICV_41to50","risk_Blim_last10","risk_Bmsy_last10","risk_halfBmsy_last10","risk_collapse_last10","SSB_last10","Fbar_last10","Catch_last10","SSB_rel_last10","Fbar_rel_last10","Catch_rel_last10","ICV_last10","risk_Blim_firsthalf","risk_Bmsy_firsthalf","risk_halfBmsy_firsthalf","risk_collapse_firsthalf","SSB_firsthalf","Fbar_firsthalf","Catch_firsthalf","SSB_rel_firsthalf","Fbar_rel_firsthalf","Catch_rel_firsthalf","ICV_firsthalf","risk_Blim_lastfhalf","risk_Bmsy_lastfhalf","risk_halfBmsy_lastfhalf","risk_collapse_lastfhalf","SSB_lastfhalf","Fbar_lastfhalf","Catch_lastfhalf","SSB_rel_lastfhalf","Fbar_rel_lastfhalf","Catch_rel_lastfhalf","ICV_lastfhalf","risk_Blim_11to50","risk_Bmsy_11to50","risk_halfBmsy_11to50","risk_collapse_11to50","SSB_11to50","Fbar_11to50","Catch_11to50","SSB_rel_11to50","Fbar_rel_11to50","Catch_rel_11to50","ICV_11to50"
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","default","more","pol",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-5.98431104026442,1,0.2216,0.3722,0.1916,0.09464,385.703912342709,0.0525495887775619,33.4029359579476,1.35748398330681,0.454677820295795,0.691784040015035,0.318611096972651,0.398,0.744,0.2986,0.0254,187.801849294676,0.0662389968413167,23.6438654690235,0.660968152758589,0.573123470668332,0.489670991685428,0.406074713136639,0.2348,0.3442,0.2208,0.1716,418.539318893166,0.0502308401710271,36.5029003910881,1.4730481169628,0.434615178765033,0.755985160603977,0.28269430243362,0.2348,0.3442,0.2208,0.1716,418.539318893166,0.0502308401710271,36.5029003910881,1.4730481169628,0.434615178765033,0.755985160603977,0.28269430243362,0.22952,0.42304,0.18392,0.04608,338.624030809058,0.0527225330943926,29.0855953711588,1.19178645452176,0.456174196325339,0.602370722664438,0.362808438736735,0.21368,0.32136,0.19928,0.1432,436.299041934491,0.0523018119900972,39.3013154453602,1.53555341910022,0.452533966989516,0.81394111017441,0.280963553798001,0.1775,0.27925,0.16485,0.11195,454.218122058056,0.049197527266261,36.8876133640803,1.59861957810178,0.425674586266559,0.763952672652552,0.296454354750221
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","default","more","pol",1,2,3,1,1,1,1,2,1,Inf,0,"1_2_3_1_1_1_1_2_1_Inf_0",-5.66503860014966,1,0.29268,0.44956,0.26848,0.14152,321.040029488258,0.0656267553454278,36.6665507844189,1.12989960455322,0.5678261384661,0.759374405501221,0.294513401097663,0.3774,0.5922,0.33,0.0316,221.35165964075,0.0910555373039079,34.2891329379737,0.779046628839255,0.787845046750985,0.710137424515828,0.301678857515074,0.3006,0.4268,0.2868,0.2358,347.168972707786,0.0492859063362369,33.2771133442061,1.22186035679398,0.426439273561573,0.689178218892938,0.281889673043024,0.3006,0.4268,0.2868,0.2358,347.168972707786,0.0492859063362369,33.2771133442061,1.22186035679398,0.426439273561573,0.689178218892938,0.281889673043024,0.28872,0.47344,0.25848,0.07696,302.315841329358,0.0769604583907686,38.0763371605264,1.06399986977546,0.665889387226207,0.788571471173819,0.299906336326519,0.29664,0.42568,0.27848,0.20608,344.578827377713,0.0536424005671244,34.7300474835026,1.21274434659161,0.464133218406997,0.719268886672072,0.287782751167116,0.2715,0.4139,0.2531,0.169,346.866028286872,0.0598745282324446,37.5387420175494,1.22079414463989,0.518055813970349,0.777437727111044,0.291659275481004
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","mult","more","pol",1,2,3,1,1,1,1,2,0.74,Inf,0,"1_2_3_1_1_1_1_2_0.74_Inf_0",-3.39938285257511,1,0.05096,0.11868,0.03436,0.00188,919.808892905057,0.00498606510831078,5.68562912037931,3.23726516601248,0.0431412170492125,0.117750951230001,0.226009987566921,0.2442,0.5764,0.1618,0.0014,249.381537614258,0.0258396314346881,11.8358379077854,0.87769771633269,0.223573724766944,0.245123475826164,0.425936086327328,0.002,0.002,0.002,0.002,1126.9478618757,0.00181448275264359,2.69267797482933,3.96629026453542,0.0156995531673613,0.0557661054175607,0.196195848462168,0.002,0.002,0.002,0.002,1126.9478618757,0.00181448275264359,2.69267797482933,3.96629026453542,0.0156995531673613,0.0557661054175607,0.196195848462168,0.09992,0.23536,0.06672,0.00176,592.31626112184,0.0101503347711398,8.41256748630227,2.08465564334396,0.0878243235841474,0.174226598820534,0.271207083956348,0.002,0.002,0.002,0.002,1093.71086921714,0.00259065637823149,3.76189544569751,3.84931274954672,0.0224152847356371,0.0779098948911283,0.197603645915267,0.00265,0.00425,0.0025,0.002,1003.47039486115,0.00365430434321773,4.73650043331435,3.53171161908313,0.0316183470151368,0.0980942336750358,0.199477461028677
"multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","mult","more","pol",1,2,3,1,1,1,1,2,0.73,Inf,0,"1_2_3_1_1_1_1_2_0.73_Inf_0",-3.43782489010738,1,0.05268,0.09828,0.0438,0.00368,921.957318468588,0.00633501850648065,7.18750326053693,3.24482654456865,0.0548128438883244,0.148855179959486,0.216418714730816,0.2416,0.4436,0.1988,0.0024,322.83965241233,0.0320181064948688,16.5585154286075,1.13623337306643,0.277032098818282,0.342931433161279,0.289148785184829,0.004,0.004,0.004,0.004,1120.7833487274,0.00195380240687887,2.89569874614819,3.94459427547253,0.0169049966006143,0.0599707217293348,0.198838406473447,0.004,0.004,0.004,0.004,1120.7833487274,0.00195380240687887,2.89569874614819,3.94459427547253,0.0169049966006143,0.0599707217293348,0.198838406473447,0.10136,0.19256,0.0836,0.00336,644.923037957785,0.0142762876361565,11.7106261445558,2.26980506673051,0.123523542149869,0.242530305587076,0.238731871149177,0.004,0.004,0.004,0.004,1082.57132195441,0.00292414784407083,4.23331428913463,3.81010713999353,0.0253007720686955,0.0876731094918663,0.202382711398809,0.00545,0.01195,0.00505,0.004,996.443691947097,0.00462467884558033,5.92917207276128,3.50698115523239,0.0400143739654607,0.122794793116478,0.20254244753664
"upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","cap","more","pol",1,2,3,1,1,1,1,2,1,1.32,0.74,"1_2_3_1_1_1_1_2_1_1.32_0.74",-5.46356670644452,19,0.33424,0.49512,0.29936,0.16824,287.971757001449,0.0700733720086338,39.1085649131745,1.01351589979945,0.606299854800504,0.809949193354932,0.26,0.6234,0.9284,0.5002,0.0582,142.031577041751,0.1666739633419,39.4162109539696,0.49987979065836,1.44212269049601,0.816320627927745,0.26,0.3056,0.4056,0.2978,0.2428,364.861027931428,0.0680873502353336,46.8637336340345,1.28412750221131,0.589116084728269,0.970560881964248,0.257387722093574,0.3056,0.4056,0.2978,0.2428,364.861027931428,0.0680873502353336,46.8637336340345,1.28412750221131,0.589116084728269,0.970560881964248,0.257387722093574,0.4004,0.6248,0.33952,0.12048,206.286302240439,0.0802630046739913,34.6721683703422,0.726024140035604,0.694464197808223,0.718070194234227,0.26,0.26808,0.36544,0.2592,0.216,403.901547298288,0.0627088383289604,45.3528059337453,1.42153051536354,0.542579277744368,0.939269151501016,0.251796283756904,0.26195,0.3868,0.24915,0.19575,368.151093374004,0.0573104256392344,38.8913481005985,1.29570687955078,0.495870282071507,0.805450573103342,0.26
"upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","cap","more","pol",1,2,3,1,1,1,1,2,1,1.53,0.68,"1_2_3_1_1_1_1_2_1_1.53_0.68",-5.45079389955916,15,0.34148,0.50052,0.3164,0.1836,283.791484161824,0.0784705942774828,40.2004450595506,0.998803439686776,0.67895562255353,0.832562333104781,0.282159672350716,0.3956,0.6098,0.3468,0.035,210.758516201027,0.104870680712539,36.489065872391,0.741764086214904,0.907378604257951,0.755698643896343,0.298615742967421,0.4136,0.5434,0.3982,0.3216,250.275456570989,0.0612306487338544,35.8827213715268,0.880843861931179,0.529789453147802,0.743141081621675,0.284410543088291,0.4136,0.5434,0.3982,0.3216,250.275456570989,0.0612306487338544,35.8827213715268,0.880843861931179,0.529789453147802,0.743141081621675,0.284410543088291,0.30576,0.4952,0.27336,0.09512,287.67371778748,0.0862650563437797,39.9563738638839,1.01246695150929,0.746396093642342,0.82750755115381,0.290050906804733,0.3772,0.50584,0.35944,0.27208,278.942791812831,0.0701019061689332,40.4825677368483,0.981738478733275,0.606546742551877,0.838405171762034,0.275553001823177,0.32795,0.4732,0.3088,0.22075,303.283138330741,0.0725685182779108,41.4165248927766,1.06740426922399,0.627888751943662,0.857747682712041,0.277040692132175
"multiplier-upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","mult_cap","more","pol",1,2,3,1,1,1,1,2,0.74,Inf,0,"1_2_3_1_1_1_1_2_0.74_Inf_0",-3.39938285257511,10,0.05096,0.11868,0.03436,0.00188,919.808892905057,0.00498606510831078,5.68562912037931,3.23726516601248,0.0431412170492125,0.117750951230001,0.226009987566921,0.2442,0.5764,0.1618,0.0014,249.381537614258,0.0258396314346881,11.8358379077854,0.87769771633269,0.223573724766944,0.245123475826164,0.425936086327328,0.002,0.002,0.002,0.002,1126.9478618757,0.00181448275264359,2.69267797482933,3.96629026453542,0.0156995531673613,0.0557661054175607,0.196195848462168,0.002,0.002,0.002,0.002,1126.9478618757,0.00181448275264359,2.69267797482933,3.96629026453542,0.0156995531673613,0.0557661054175607,0.196195848462168,0.09992,0.23536,0.06672,0.00176,592.31626112184,0.0101503347711398,8.41256748630227,2.08465564334396,0.0878243235841474,0.174226598820534,0.271207083956348,0.002,0.002,0.002,0.002,1093.71086921714,0.00259065637823149,3.76189544569751,3.84931274954672,0.0224152847356371,0.0779098948911283,0.197603645915267,0.00265,0.00425,0.0025,0.002,1003.47039486115,0.00365430434321773,4.73650043331435,3.53171161908313,0.0316183470151368,0.0980942336750358,0.199477461028677
"multiplier-upper_constraint-lower_constraint--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","mult_cap","more","pol",1,2,3,1,1,1,1,2,0.73,Inf,0,"1_2_3_1_1_1_1_2_0.73_Inf_0",-3.43782489010738,10,0.05268,0.09828,0.0438,0.00368,921.957318468588,0.00633501850648065,7.18750326053693,3.24482654456865,0.0548128438883244,0.148855179959486,0.216418714730816,0.2416,0.4436,0.1988,0.0024,322.83965241233,0.0320181064948688,16.5585154286075,1.13623337306643,0.277032098818282,0.342931433161279,0.289148785184829,0.004,0.004,0.004,0.004,1120.7833487274,0.00195380240687887,2.89569874614819,3.94459427547253,0.0169049966006143,0.0599707217293348,0.198838406473447,0.004,0.004,0.004,0.004,1120.7833487274,0.00195380240687887,2.89569874614819,3.94459427547253,0.0169049966006143,0.0599707217293348,0.198838406473447,0.10136,0.19256,0.0836,0.00336,644.923037957785,0.0142762876361565,11.7106261445558,2.26980506673051,0.123523542149869,0.242530305587076,0.238731871149177,0.004,0.004,0.004,0.004,1082.57132195441,0.00292414784407083,4.23331428913463,3.81010713999353,0.0253007720686955,0.0876731094918663,0.202382711398809,0.00545,0.01195,0.00505,0.004,996.443691947097,0.00462467884558033,5.92917207276128,3.50698115523239,0.0400143739654607,0.122794793116478,0.20254244753664
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","one-way","PA","all","more","pol",0,2,3,1,1.3,0.6,1.7,2,0.94,Inf,0,"0_2_3_1_1.3_0.6_1.7_2_0.94_Inf_0",-1.47871729566048,22,0.05112,0.15104,0.03216,0,541.798903243781,0.0482120574291879,35.7655823541011,1.90685992490823,0.417147949086118,0.740715100180398,0.254280388158477,0.2418,0.622,0.1524,0,236.880863326451,0.0508753963967501,20.7594872829319,0.833701623518479,0.44019210955721,0.429934721885141,0.465856294553843,0,0.0162,0,0,643.035534702625,0.0477589381828131,40.5089604178196,2.26316200360534,0.413227399447798,0.838951771482852,0.218335768456626,0,0.0162,0,0,643.035534702625,0.0477589381828131,40.5089604178196,2.26316200360534,0.413227399447798,0.838951771482852,0.218335768456626,0.10192,0.2824,0.06416,0,424.227568936521,0.0484435893319072,29.8438398072371,1.49306789918383,0.419151245844594,0.618074174599608,0.319770140176569,0.00032,0.01968,0.00016,0,639.137016385552,0.0480604088844286,40.4842591956964,2.24944117785091,0.415835831686417,0.838440202342487,0.210912961127852,0.00345,0.0333,0.0021,0,604.047579391711,0.0477012776650501,39.003497468997,2.12594398952043,0.412728500043568,0.807773217533566,0.222571857780943
"lag_idx-range_idx_1-range_idx_2-exp_r-exp_f-exp_b-interval-multiplier--obj_ICES_MSYPA_res_more.rds","MSYPA","random","PA","all","more","pol",0,3,4,1,1.2,1,1.5,2,0.73,Inf,0,"0_3_4_1_1.2_1_1.5_2_0.73_Inf_0",-2.95003049690434,59,0.05052,0.10028,0.0414,0,836.566352526818,0.0128834979781381,13.0691168013711,2.94429324719817,0.111472628325997,0.270665022729228,0.233087553511331,0.2406,0.4448,0.198,0,320.644104920412,0.0365667351983009,18.2293921321748,1.12850614899767,0.31638845977794,0.377535751710282,0.303413628730885,0,0,0,0,1054.44034296108,0.0045305044046202,6.3275093649631,3.71110022770621,0.0391995430497598,0.131044468583177,0.207789034616286,0,0,0,0,1054.44034296108,0.0045305044046202,6.3275093649631,3.71110022770621,0.0391995430497598,0.131044468583177,0.207789034616286,0.10104,0.2004,0.0828,0,576.709985271626,0.0241701448857435,18.1150290097673,2.0297293933688,0.209128730567267,0.375167259822403,0.264184261237468,0,0.00016,0,0,996.289845540872,0.00701094557571116,9.10645935195026,3.5064396931791,0.0606612064286584,0.188597291227808,0.210192000994571,0.003,0.01415,0.00225,0,910.26652008955,0.0102362142122689,12.0635444140351,3.20368080804962,0.0885673831971551,0.249839340534269,0.219326059544072
