"lag_idx","range_idx_1","range_idx_2","range_catch","exp_r","exp_f","exp_b","interval","multiplier","upper_constraint","lower_constraint","sigmaL","sigmaB","risk_Blim","risk_Bmsy","risk_halfBmsy","risk_collapse","SSB","Fbar","Catch","SSB_rel","Fbar_rel","Catch_rel","ICV","stock","sigmaR","sigmaR_rho","file"
1,2,3,1,1,1,1,2,0,Inf,0,0.2,0.2,0.02916,0.05996,0.0238,0,1057.35756940028,0,0,3.72136739907827,0,0,1,"pol",NA,NA,"1_2_3_1_1_1_1_2_0_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0,Inf,0,0.4,0.4,0.02916,0.05996,0.0238,0,1057.35756940028,0,0,3.72136739907827,0,0,1,"pol",NA,NA,"1_2_3_1_1_1_1_2_0_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0,Inf,0,0.6,0.6,0.02916,0.05996,0.0238,0,1057.35756940028,0,0,3.72136739907827,0,0,1,"pol",NA,NA,"1_2_3_1_1_1_1_2_0_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.01,Inf,0,0.2,0.2,0.02932,0.06036,0.02388,0,1057.20656480656,6.51340459943256e-27,9.34969705966616e-24,3.72083593877718,5.63563041094459e-26,1.93634811412846e-25,0.987508223883478,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.01_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.01,Inf,0,0.4,0.4,0.02932,0.06032,0.02388,0,1057.16095984421,5.97276629686985e-27,8.88480196617181e-24,3.72067543222288,5.16785083227242e-26,1.84006705477321e-25,0.988072875359654,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.01_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.01,Inf,0,0.6,0.6,0.02936,0.06032,0.02392,0,1057.0478100524,4.54231618926644e-27,6.7459161941267e-24,3.72027720180526,3.93017428313696e-26,1.39709789709831e-25,0.988649349853407,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.01_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.02,Inf,0,0.2,0.2,0.02944,0.0604,0.02396,0,1056.96938026585,5.32478306945372e-23,7.63815143373732e-20,3.72000116836186,4.60719258872857e-22,1.58188228236273e-21,0.974908177600011,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.02_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.02,Inf,0,0.4,0.4,0.02944,0.0604,0.024,0,1056.90579063047,4.83181701496926e-23,7.20219062173869e-20,3.71977736479448,4.18066074262491e-22,1.49159359271212e-21,0.975876563239656,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.02_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.02,Inf,0,0.6,0.6,0.02956,0.06048,0.02416,0,1056.82278991257,4.01018097937713e-23,6.2295200679817e-20,3.7194852439693,3.46975188409732e-22,1.29015083147437e-21,0.976807888378705,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.02_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.03,Inf,0,0.2,0.2,0.02952,0.06052,0.02412,0,1056.74219113091,1.03413347555523e-20,1.4833054722504e-17,3.71920157675285,8.94769237016625e-20,3.07196664826597e-19,0.962274242803894,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.03_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.03,Inf,0,0.4,0.4,0.02952,0.06056,0.02424,0,1056.56234869614,9.43466065096009e-21,1.40069259264877e-17,3.71856862174022,8.16320553556968e-20,2.90087309026246e-19,0.963365681229266,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.03_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.03,Inf,0,0.6,0.6,0.02964,0.06076,0.0242,0,1056.49193759481,8.29035729977425e-21,1.24170558501746e-17,3.71832081003997,7.17311338532148e-20,2.57160660127013e-19,0.964472049446251,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.03_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.04,Inf,0,0.2,0.2,0.02968,0.06068,0.02428,0,1056.50426046111,4.3436245932799e-19,6.22373207854812e-16,3.718364180338,3.75825921419768e-18,1.28895212285817e-17,0.949502595559787,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.04_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.04,Inf,0,0.4,0.4,0.02968,0.0608,0.0244,0,1056.43151305657,3.99166377109866e-19,6.00490961359346e-16,3.71810814602432,3.45373013379656e-18,1.24363338529481e-17,0.950291973913991,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.04_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.04,Inf,0,0.6,0.6,0.02976,0.06096,0.02452,0,1056.11550362004,3.52371181928084e-19,5.43343749722633e-16,3.71699595157946,3.04884138317985e-18,1.12527992980392e-17,0.951851782039122,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.04_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.05,Inf,0,0.2,0.2,0.02972,0.06072,0.02452,0,1056.29462750049,7.88383881338768e-18,1.12694736160941e-14,3.71762637764195,6.82137906427364e-17,2.33393914738489e-16,0.936180398853262,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.05_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.05,Inf,0,0.4,0.4,0.02984,0.061,0.0246,0,1056.09143601083,7.28532213293925e-18,1.09800696688146e-14,3.71691124568727,6.30352104481533e-17,2.27400278966552e-16,0.936938224035485,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.05_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.05,Inf,0,0.6,0.6,0.02996,0.0612,0.02484,0,1055.78933473963,6.37189040689712e-18,9.76118635580344e-15,3.71584800099654,5.51318727466183e-17,2.02156868517741e-16,0.938403486619645,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.05_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.06,Inf,0,0.2,0.2,0.02988,0.06104,0.02468,0,1056.0646830557,8.41650394525507e-17,1.20267139798935e-13,3.71681708872662,7.28225997074507e-16,2.49076572059125e-15,0.923381276446083,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.06_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.06,Inf,0,0.4,0.4,0.03004,0.06116,0.02476,0,1055.94070683519,7.75548518194496e-17,1.17385336616844e-13,3.71638075471944,6.71032291573086e-16,2.43108277983583e-15,0.924242482350297,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.06_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.06,Inf,0,0.6,0.6,0.03032,0.06144,0.025,0,1055.52253330674,6.67853406020799e-17,1.02086245822873e-13,3.71490899400107,5.77850632118206e-16,2.1142343791044e-15,0.925822478889371,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.06_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.07,Inf,0,0.2,0.2,0.03008,0.06112,0.02472,0,1055.81447458653,6.20580332367424e-16,8.84056372357009e-13,3.71593648062668,5.36948279526292e-15,1.83090519240616e-14,0.91061834694094,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.07_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.07,Inf,0,0.4,0.4,0.03016,0.06148,0.02484,0,1055.65122946561,5.75886326676056e-16,8.55900521087853e-13,3.71536193981984,4.98277428696122e-15,1.77259364588355e-14,0.911625322563998,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.07_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.07,Inf,0,0.6,0.6,0.03052,0.06176,0.02512,0,1055.26967822012,4.92790856340743e-16,7.5985802357902e-13,3.71401907113743,4.26380258409137e-15,1.57368697784862e-14,0.913497732599314,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.07_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.08,Inf,0,0.2,0.2,0.0302,0.06124,0.02484,0,1055.60616233642,3.49079728733725e-15,5.01333146080969e-12,3.71520332616805,3.02036255396672e-14,1.03827480801676e-13,0.897867736688001,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.08_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.08,Inf,0,0.4,0.4,0.03036,0.06156,0.02504,0,1055.3138953293,3.2611647263822e-15,4.93456733218603e-12,3.71417469314586,2.82167625648504e-14,1.02196253918622e-13,0.899058382020987,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.08_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.08,Inf,0,0.6,0.6,0.03064,0.062,0.0252,0,1054.89609545777,2.81813247397331e-15,4.28410854676892e-12,3.71270424751211,2.43834892028327e-14,8.87250726127143e-14,0.901148540366213,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.08_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.09,Inf,0,0.2,0.2,0.03036,0.06148,0.02504,0,1055.35504398168,1.58822214066737e-14,2.31181686366078e-11,3.71431951572804,1.37418655000494e-13,4.78783664924408e-13,0.885110371671475,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.09_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.09,Inf,0,0.4,0.4,0.03048,0.06192,0.0252,0,1055.01345741979,1.55346703553124e-14,2.2562965391116e-11,3.71311730265256,1.34411519109415e-13,4.67285252189691e-13,0.88648399823462,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.09_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.09,Inf,0,0.6,0.6,0.03072,0.06252,0.02548,0,1054.53799810486,1.31474949938174e-14,1.95026508023838e-11,3.71144392474773,1.13756824842961e-13,4.0390529084212e-13,0.888832735245282,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.09_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.1,Inf,0,0.2,0.2,0.0304,0.06196,0.02504,0,1055.03128759279,6.2580314438639e-14,9.01856135922419e-11,3.71318005590318,5.41467243118282e-13,1.86776899493566e-12,0.872339290564575,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.1_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.1,Inf,0,0.4,0.4,0.03052,0.0622,0.02524,0,1054.72504025943,6.15740044564797e-14,8.7754346870271e-11,3.71210221915674,5.32760289555489e-13,1.81741678884825e-12,0.873892382426314,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.1_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.1,Inf,0,0.6,0.6,0.031,0.06288,0.02564,0,1054.04217546628,5.02418791512599e-14,7.62808592517472e-11,3.7096988781747,4.34710691966702e-13,1.57979768770704e-12,0.876620740857299,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.1_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.11,Inf,0,0.2,0.2,0.03044,0.0622,0.02512,0,1054.76943654338,2.13562534343988e-13,3.11124682876875e-10,3.71225847177033,1.84781936207714e-12,6.44347821221241e-12,0.859588546009956,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.11_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.11,Inf,0,0.4,0.4,0.03068,0.06256,0.0254,0,1054.31780419163,2.08783612432852e-13,3.05240149445685e-10,3.71066895280455,1.80647042199091e-12,6.321607897706e-12,0.861304062452066,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.11_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.11,Inf,0,0.6,0.6,0.03124,0.06312,0.02588,0,1053.65155397721,1.74352128835197e-13,2.62226363739066e-10,3.70832408679205,1.50855692207754e-12,5.43078050187687e-12,0.864480462727374,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.11_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.12,Inf,0,0.2,0.2,0.03056,0.06252,0.02524,0,1054.47079553002,6.66452095208723e-13,9.63229384866643e-10,3.71120740544868,5.76638167928831e-12,1.99487469054558e-11,0.846855184148356,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.12_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.12,Inf,0,0.4,0.4,0.03092,0.06272,0.02552,0,1053.97421099021,6.38804075396754e-13,9.46039173035549e-10,3.70945967736612,5.52716113206743e-12,1.95927328651271e-11,0.84871243547241,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.12_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.12,Inf,0,0.6,0.6,0.03152,0.06364,0.02612,0,1053.43168652978,5.50808611757291e-13,8.33514815437716e-10,3.70755026384446,4.76579293615506e-12,1.7262322304896e-11,0.852290083513715,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.12_Inf_0_0.6_0.6"
1,2,3,1,1,1,1,2,0.13,Inf,0,0.2,0.2,0.03068,0.06272,0.02536,0,1054.24141052296,1.88537012388226e-12,2.73402953904526e-09,3.7104000854731,1.63128960343764e-11,5.66225077466929e-11,0.834117897688137,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.13_Inf_0_0.2_0.2"
1,2,3,1,1,1,1,2,0.13,Inf,0,0.4,0.4,0.03108,0.063,0.02568,0,1053.67739749375,1.8417172025311e-12,2.70406211363783e-09,3.70841504298577,1.59351953598096e-11,5.60018740801405e-11,0.836143286195025,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.13_Inf_0_0.4_0.4"
1,2,3,1,1,1,1,2,0.13,Inf,0,0.6,0.6,0.03172,0.06404,0.02628,0,1053.21623153907,1.55388246596429e-12,2.30755631599894e-09,3.70679197052761,1.34447463634991e-11,4.77901293722698e-11,0.840279077838474,"pol",NA,NA,"1_2_3_1_1_1_1_2_0.13_Inf_0_0.6_0.6"
